Code,Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operation Monitoring,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
15-1134.00,Web Developers,3.25,3.5,3.5,3,3.75,1,2,1.25,2.75,3.25,2.75,1.88,2.12,2.62,2.5,3.12,2.75,1.62,2.38,3.62,2.88,4,2.62,3.5,1,2.12,2.62,3,3.38,3.12,3,2.62,3,2.38,3.12
15-1141.00,Database Administrators,3.38,3.38,3.5,3.12,3.5,1,1.88,1.5,3,3.25,2.88,2.25,2.25,2.88,2.88,3.5,2.38,1.88,2.75,3.25,2.88,3.12,2.5,3.38,1.25,2.12,2.62,3,3.25,3.25,3.12,2.25,3.12,2.75,3.12
15-1142.00,Network and Computer Systems Administrators,3.25,3.5,3.62,3,3.75,3,3,2.38,2.75,3.62,2.62,2.25,2.62,2.88,2.88,3.62,2.5,3,3.5,3,2.75,3.5,3.25,3.75,2.88,2.12,2.88,3,3.5,3.75,3.62,2.75,3.12,3.5,3.12
15-1143.00,Computer Network Architects,3.56,3.62,3.56,3.12,3.5,2.5,2.88,1.94,2.94,3.25,2.94,2.38,2.5,2.88,2.81,3.19,2.5,2.31,3.06,3.62,2.94,2.88,3,3.38,2.38,2.5,3,2.69,3.5,3.62,3.5,3.12,3.12,2.94,3.19
15-1151.00,Computer User Support Specialists,3.25,4,3.5,3.12,3.75,2.38,2,2,3.25,3.25,2.75,1.75,1.75,2.75,2.38,3.25,2.75,2.62,2.75,2.62,2.62,2,2.62,3.88,2.38,2.12,3.12,3.12,4,3,2.62,1.88,3.38,2.75,3.62
15-1199.01,Software Quality Assurance Engineers and Testers,3.25,3.75,3.38,3,4,1.12,2.12,2.5,2.5,3.12,2.62,1.25,1.38,2.38,2.12,3.5,2.25,2.25,2.62,3.12,2.5,3.5,3.38,4,1.12,3.25,2.25,2.88,3.62,3.25,3.38,2.75,3,2.88,3.62
15-1199.02,Computer Systems Engineers/Architects,3.5,4.12,4,3.25,4.12,2.25,2.38,1.62,3.12,3.38,3,2.38,2.25,2.88,2.75,3.5,2.88,1.75,2.62,3.88,3,3.38,3.25,4,2.25,2.75,2.75,3,3.88,3.62,3.75,2.25,3.38,2.5,3.88
15-1199.03,Web Administrators,3.12,3.62,3.75,3.12,4,1.25,1.5,1.75,3.25,3.5,2.75,1.75,1.62,2.62,2.12,3.25,2.62,1.75,2.25,2.88,2.75,3.38,3,3.75,1.12,2.38,2.88,2.88,3.25,3.25,3.12,2.38,3.25,2.88,3.5
15-1199.04,Geospatial Information Scientists and Technologists,3.5,3.88,3.75,3.25,3.62,1,1.38,1,3.25,3.62,2.75,1.88,1.88,3,3.25,3,2.88,1.25,2.38,3.12,2.88,2.62,1.25,4.12,1,3.62,3,3,3.75,3.38,3.38,2,3.25,1,3.75
15-1199.05,Geographic Information Systems Technicians,3.25,3.12,3.38,3,3.75,1.5,1.62,1.38,2.75,3.25,2.88,1.75,1.75,2.62,3.12,3,2.38,1.62,2.12,2.38,2.62,2.75,1.88,3.62,1.38,2.62,2.75,2.75,3.38,3,2.62,2.5,3,1.5,3.12
15-1199.08,Business Intelligence Analysts,3.75,3.88,3.38,3.25,4,1.38,1.25,1.12,2.88,3.62,3,2.38,2.25,2.75,3.25,3.25,2.88,1.25,1.75,2.25,3.12,2.62,2,3.88,1,1.88,2.75,3.38,3.75,3.5,3.38,2.25,3.5,1.25,3.5
15-1199.09,Information Technology Project Managers,3.12,3.75,3.38,3.88,4.12,1,1,1,2.75,3.38,2.75,3.25,3,3.5,2.75,3.88,3.25,1.25,1.88,2,3.25,1.75,1.88,3.88,1,1.75,3,3.25,3.88,3.5,3.25,1.88,3.88,1.12,3.62
15-1199.11,Video Game Designers,3.5,3.75,3.62,3.38,3.62,1,1.25,1.12,2.88,3.5,3,1.88,1.88,2.88,2.62,3.25,2.88,1,2.5,3,3.12,4,1.88,3.62,1,1.25,2.62,3.12,3.38,3.38,3.25,2.88,3.5,1.25,3.25
15-2011.00,Actuaries,3.38,3.75,4,3.12,4.25,1,1,1,2.88,4.25,3.38,3.25,2.38,2.75,4.38,3.12,2.75,1.12,1.75,3.25,3,2.62,2.12,4,1,2.25,2.88,3.25,3.75,3.88,3.88,1.62,3,1.12,3.25
15-2021.00,Mathematicians,3.75,3.38,4,2.88,4,1,1,1,2.88,3.25,3.25,1.62,1.62,2.5,5,2.88,2.12,1,1.5,2.5,2.62,2.5,1.38,4,1,3.25,2.12,2.75,3.25,3.25,3.12,1.62,2.75,1,3.38
15-2031.00,Operations Research Analysts,3.75,4,4.25,3,4.12,1,1.12,1,2.88,4,3,2,1.88,2.5,4.25,3,2.38,1.12,2,3.88,2.62,2.5,2,4,1,3,2.75,2.88,3.75,3.88,4,2,3.12,1.5,4
15-2041.00,Statisticians,3.75,3.88,3.62,2.88,4,1,1,1,2.88,3.5,3,1.75,1.75,2.62,4.88,3,2.12,1.25,1.75,2.88,2.75,3.38,1.75,4,1,3.5,2.5,2.75,3.5,3.25,3,1.62,2.88,1,3.38
15-2041.01,Biostatisticians,3.62,3.62,4.12,3.25,4.25,1,1.88,1,3.25,4,3.12,2,2,3,4.5,3.38,2.38,1.12,1.5,3,2.62,3.5,2,3.75,1.25,4,2.62,2.75,3.5,3,2.88,1.88,3.12,1.12,3.88
15-2041.02,Clinical Data Managers,3.12,3.75,3.38,3.25,3.88,1,1.62,1,2.88,3.25,2.75,1.88,2,3,3.12,3.5,2.5,1.5,2.12,2.62,2.62,3,2.38,3.62,1,2,2.75,3,3.62,3.12,3,1.88,3.38,1.38,3.5
15-2091.00,Mathematical Technicians,3.66,4.16,3.75,2.33,4.5,1,4,1.16,1.33,4.16,3.16,1.66,1.66,1,4.66,3.66,1.66,2,2,3.16,1.66,3.16,2.92,4.33,1,3.83,1,1,3.66,2.66,3.08,2.33,2.5,1.83,3.33
17-1011.00,"Architects, Except Landscape and Naval",3.5,4.12,4,3.62,4.12,1,1.25,1,2.88,3.88,3,3,3,3.25,3.38,3.5,3.25,1.88,2.25,3.5,3.25,1.88,3.12,3.88,1,2.5,3.25,3.25,4,3.12,3.12,1.88,3.38,1.88,3.38
17-1012.00,Landscape Architects,3.12,4,3.62,3.62,3.62,1,1.25,1,2.88,3.5,2.75,2.5,2.5,3.38,2.62,3.25,3.38,2,2.62,3.5,3.38,1.38,2.38,3.75,1,2.88,3.38,3.38,3.88,3.25,3.38,1.75,3.5,1.75,3.5
17-1021.00,Cartographers and Photogrammetrists,3.38,3.5,3.25,3.12,3.5,1.12,1.12,1,2.88,3.12,2.75,1.5,1.62,2.62,2.75,3.12,2.62,1.25,2.25,1.38,2.75,1.75,2.25,3.75,1,1.88,2.62,2.88,3.12,3,3,1.88,3.38,1.88,3.5
17-1022.00,Surveyors,3.25,3.5,3.38,3.5,3.62,2.25,2.5,1,3.25,3.25,3.25,2.25,2.38,3.38,3.75,3.12,2.62,2.88,3.12,2.62,2.62,2,2.88,3.88,2.25,3,2.75,3.12,3.62,3,2.88,1.62,3.5,2.25,3.62
17-1022.01,Geodetic Surveyors,3.25,3.5,3.5,3.38,3.88,2.12,2.25,1,3,3.5,2.75,2,2.12,2.88,4.12,3.38,2.38,2.75,2.62,1.88,2.25,2.38,3,3.75,2.12,3,2.38,2.88,3.38,3.12,3.25,1.62,3.25,2.12,3.38
17-2011.00,Aerospace Engineers,3.5,3.88,3.88,3.38,4.12,1,1.25,1.5,3.12,3.5,3.12,1.5,1.5,2.88,3.75,3.62,3,1.38,2.88,3.88,3,1.75,3.25,4,1,3.75,2.88,3.25,3.88,3.38,3.25,3.12,3.25,2.38,3.75
17-2021.00,Agricultural Engineers,3.38,3.88,4,3.25,4.12,1.12,1.62,1.25,3,3.88,2.88,2.12,2.38,2.88,3.62,3.38,2.88,2.12,3.12,2.62,2.88,2,2.5,4,1.12,3.38,2.75,3.12,3.75,3.62,3.62,2.88,3.25,2.38,4
17-2031.00,Biomedical Engineers,3.5,3.88,4,3.12,4.12,2.38,2.38,2.62,3.12,4,3.25,2,2.5,2.88,3.62,3.5,2.75,2.38,3.12,3.88,3,3.12,3.12,4,2.5,4.12,2.88,3.12,3.75,3.62,3.5,3.38,3.25,2.88,3.5
17-2041.00,Chemical Engineers,3.62,3.38,4,3,4,1,2.12,1,2.88,3.88,2.88,2.5,2.5,2.88,3.75,3.25,2.75,1.62,3,3.5,2.88,2.12,2.88,3.62,1,4.25,2.62,2.88,3.5,3.88,3.62,2.75,3.12,3.12,3.38
17-2051.00,Civil Engineers,3.38,3.75,4,3.25,4,1.25,1.38,1.12,3,4,3.12,2.88,3,3.38,4,3.38,2.62,2,2.25,3.88,2.75,2.12,3.25,3.88,1.12,3.5,2.75,3.12,3.75,3.38,3.38,2.12,3.5,2.12,3.38
17-2051.01,Transportation Engineers,3.38,3.5,4,3.5,3.88,1.12,1.5,1,2.88,3.75,2.62,3,2.88,3,3.5,3.12,3.12,1.62,2.12,3,3.12,2.12,2.88,3.75,1.12,2.38,2.88,3,3.88,3.62,3.25,2.62,3.62,2.12,3.75
17-2061.00,Computer Hardware Engineers,3.62,3.88,3.62,3.12,3.75,2.25,2,1.62,2.88,3.5,2.75,1.62,2,2.88,2.25,3,2.5,1.5,2.88,3.38,2.88,2.5,2.75,3.88,1.88,3.25,2.75,3.12,4,3.12,2.88,2.12,3.38,2.75,3.5
17-2071.00,Electrical Engineers,3.5,3.88,3.75,3.25,4,2.25,2,1.25,3,3.38,2.75,2.12,2.12,2.88,3.12,3.5,2.62,1.12,3,3.25,2.75,1.62,2.75,4,2.12,3.12,2.75,3.12,3.5,3.12,3.25,2.38,3.38,3,3.75
17-2072.00,"Electronics Engineers, Except Computer",3.5,3.62,3.75,3.25,3.88,2.62,3.12,1.5,3.12,3.5,3,2.38,2.5,2.88,3.25,3.5,2.88,2.62,3.5,2.88,2.75,2.88,3.5,4,3,2.62,2.75,3,3.5,3.75,3.38,2.88,3.38,3.38,3.62
17-2081.00,Environmental Engineers,3.88,3.88,3.88,3.5,4.12,1,1,1,3.38,3.75,3.12,2.38,2.5,3,3.5,3.75,3.25,2.12,2.75,2.12,3.38,1.62,2.5,4.25,1,3.38,3.12,3.38,3.75,3.12,3.25,1.88,3.62,2,3.75
17-2081.01,Water/Wastewater Engineers,3.38,3.88,4,3.38,4,1,1.75,1,3.12,3.88,3,2.38,2.38,3.25,4,3.5,2.88,2.12,2.75,3.38,3.25,2.38,2.88,3.88,1,3.62,2.88,3,3.88,3.62,3.5,3,3.5,2.25,3.75
17-2111.01,Industrial Safety and Health Engineers,3.75,4,3.88,3.5,4.12,1,1.75,2.38,3.5,3.75,3.5,1.75,1.88,3.12,3.38,3.62,3,2.12,2.88,2.75,3.38,2,3.25,4.12,1,3.12,3.25,3.5,4.12,3.75,3.75,2.5,3.38,2.5,3.75
17-2111.02,Fire-Prevention and Protection Engineers,3.62,4,3.62,3.38,4.12,1.12,1.88,1,3,3.62,3.12,2.75,2.62,2.88,3.12,3,2.75,2,2.88,3.62,3.12,2,3.12,4.12,1.25,3.88,3,3.25,3.88,3.62,3.5,2.88,3.38,2.88,3.5
17-2111.03,Product Safety Engineers,3.38,3.75,3.5,2.88,4,1,1.12,1,2.62,3.5,2.88,1.5,1.5,2.5,2.12,3.25,2.88,1.12,2.88,3.5,2.75,1.62,3.38,4,1,3.75,2.5,3.12,3.75,3,2.88,1.75,2.88,2.88,3.88
17-2112.00,Industrial Engineers,3.25,3.75,3.75,3.25,3.75,1,1.25,1,3.12,3.38,2.88,2.38,2.62,3,3.25,3.5,2.75,2.12,2.38,2.12,2.88,1.75,2.12,4,1,1.88,2.75,3.12,3.62,3.12,3,2.12,3.25,2,3.75
17-2112.01,Human Factors Engineers and Ergonomists,3.38,3.88,4,3,4.12,1,1.88,1,3.12,3.62,3.12,2.12,2.25,2.75,3.25,3.38,2.75,1.38,2.12,3.25,2.75,2.38,2.62,3.88,1,2.75,2.88,3.62,3.88,3.25,3.5,3.38,3.25,2.25,3.62
17-2121.01,Marine Engineers,3.38,3.88,3.62,3.38,4.12,1.38,1.62,1.75,3,3.75,2.88,2.88,2.88,3.38,3.38,3.38,3,2.38,3.25,3.5,3,2.12,3.25,3.75,1.75,3.88,2.88,3.12,3.62,3.38,3.25,2.62,3.5,2.88,3.5
17-2121.02,Marine Architects,3.5,3.88,3.75,3.25,3.88,1.12,1.38,1,3.12,3.75,2.75,2.62,2.88,3,3.62,3.12,3,1.25,2.62,3.88,3,2,2.75,3.88,1.12,2.62,3,3.38,3.75,3.38,3.12,2.88,3.25,2.5,3.5
17-2131.00,Materials Engineers,3.25,3.88,3.62,3,4,1,1.62,1,3,3.25,3,2.38,2.5,3,3.5,3.25,2.75,2.12,2.88,3.12,2.88,2.12,3,4,1,3.62,2.62,2.88,3.62,3.12,3,2.5,3,2,3.75
17-2141.00,Mechanical Engineers,3.38,3.75,4,3,3.88,2,2.25,2.25,2.75,3.75,2.75,2.25,2.5,2.88,3.75,3.12,2.62,2.12,3.12,3.5,2.88,2.62,3.12,3.75,1.75,3.62,2.62,2.75,3.38,3.38,3.38,3.25,3.12,3,3.38
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.25,3.75,4,3.25,4.12,1,2.25,1,3,4,2.88,3,3.12,3,3.62,3.62,2.62,2.12,3,3.25,2.75,2.75,3.12,4,1,3.38,2.38,2.88,4,3.75,3.5,2.62,3.38,2.12,4
17-2161.00,Nuclear Engineers,3.5,4.12,3.75,3.62,4,1.88,2.25,1.12,3.12,3.62,3,2.25,2.5,3,3.5,3.75,2.88,1.88,3.62,4,3,1.5,3.38,4,2.25,3.88,2.75,3.25,4,3.88,3.62,2.5,3.5,3,3.88
17-2171.00,Petroleum Engineers,3.5,4,3.88,3.62,3.88,1,1.5,1.5,3.12,3.62,2.75,2.75,2.75,3.38,3.12,3.75,3.12,2.12,3,1.75,2.88,1.75,2.62,4.12,1.12,3.38,2.75,3.5,4,3.62,3.5,2.38,3.62,2,3.88
17-2199.01,Biochemical Engineers,3.62,4,3.75,3.12,3.75,1.25,1.5,1.12,3,3.88,3,1.88,2.5,2.5,3.5,3.25,2.62,2.38,3,3.38,2.75,1.88,2.88,4.25,1.12,3.88,2.5,3,3.62,3.5,3.38,2.38,3.12,2,3.62
17-2199.02,Validation Engineers,3.38,3.88,3.62,3.38,3.75,1,1.12,1,2.88,3.38,2.75,1.75,2.12,2.75,3.12,3.62,2.75,2.25,3.12,3.25,2.75,1.5,2.75,3.88,1,3.88,2.75,3.25,3.75,3.25,3.12,1.75,3.25,2.12,3.75
17-2199.03,Energy Engineers,3.5,3.88,3.75,3.38,4,1,1.38,1,3.12,3.5,2.88,2.25,2.12,2.88,3.5,3.75,2.88,2,2.62,3.5,3.12,1.75,2.38,4.25,1,3.5,2.75,3.38,3.75,3.5,3.38,2.12,3.38,1.88,3.75
17-2199.04,Manufacturing Engineers,3.5,3.88,3.75,3.38,3.5,2.62,3.12,2.5,3,3.75,3,3,3,3.25,3.62,3.5,2.75,2.88,3.5,3.12,2.88,2.25,3.38,3.75,2.75,2.88,2.75,3.12,3.75,3.75,3.62,3.62,3.62,3.5,3.5
17-2199.05,Mechatronics Engineers,3.38,3.62,3.62,3.12,3.5,1,2,1.5,3,3.75,2.88,2.12,2.12,2.88,3.38,3.25,2.88,2.75,3.12,3,3,2.25,3.12,3.5,1,2.88,2.62,2.75,3.5,3.25,3.38,3,3.25,2.12,3.5
17-2199.07,Photonics Engineers,3.38,3.38,3.38,3,4.12,2.38,2.88,1.38,3,3.25,2.75,2.12,2.38,2.62,3.5,3,2.5,2.5,2.88,3.12,2.88,2.38,3,3.5,2.5,3.12,2.62,2.75,3.25,3.12,3.12,3.12,2.88,2.5,3.38
17-2199.08,Robotics Engineers,3.5,3.75,3.75,3.5,4,3.5,3.5,2.88,3.12,3.75,3.5,2.5,2.12,3.38,3.75,3.62,2.5,3,3.75,3.12,3,3.12,3.75,4,3.38,3.12,2.38,3.25,3.38,3.62,3.38,3.25,3.5,3.62,3.5
17-2199.10,Wind Energy Engineers,3,3.38,3.38,3,4,1.12,1.25,1,2.75,3.5,2.75,2,2.25,2.75,3.5,3.12,2.75,2.25,2.62,3.25,3,2.12,2.62,3.75,1,3.25,2.75,3.12,3.38,3.38,3.25,2.38,2.88,1.88,3.38
17-3011.01,Architectural Drafters,3.12,3.62,3,3.25,3.5,1,1.62,1,2.75,3.38,2.75,2.38,2.62,2.5,3.12,3.12,2.5,1.62,2.25,2.62,2.62,2.38,2.75,3.38,1,2.12,2.62,2.88,3.38,3,2.62,1.75,3.12,1.62,3.12
17-3011.02,Civil Drafters,3.12,3.62,3.12,3.12,3.38,1,1.38,1,2.62,2.88,2.25,2,2,2.62,3.38,3,2.5,1,2.38,3.12,2.5,1.62,2.75,3.5,1,2.12,2.62,2.88,3.38,2.62,2.5,1.5,3.12,1.62,3.38
17-3012.01,Electronic Drafters,3,3.62,3,3,3.38,1,1.25,1,2.88,3.12,2.62,1.12,1.38,2,2.62,3,2.62,1.75,1.88,3,2.75,1.88,1.88,3.5,1,1.88,2.38,3,3.75,3,2.75,2,3,1.38,3
17-3012.02,Electrical Drafters,2.88,3.75,3.25,2.88,3.38,1,1.62,1.12,2.62,2.88,2.38,1.38,1.5,2.62,2.75,2.88,2.5,1.25,1.88,3,3,1.38,2.38,3.62,1,1.88,2.38,3,3.88,2.75,2.62,1.5,3,1.5,3.5
17-3013.00,Mechanical Drafters,3.25,3.12,3.12,2.88,3.12,1.12,1.38,1,2.62,3,2.75,1.88,2,2.38,3.12,3,2.25,1.38,2.25,3,2.38,2.38,2.88,3,1,2,2.25,2.75,3.12,2.62,2.62,2.38,2.88,1.88,3
17-3021.00,Aerospace Engineering and Operations Technicians,3.25,3.88,3.5,2.88,3.88,2.88,2.5,1.88,2.75,3.38,2.75,1.75,1.75,2.5,2.62,3.38,2.62,3,3.62,2.5,2.62,1.75,3.5,3.5,2.62,3.12,2.5,3,3.62,2.62,2.62,2,3.25,3.12,3.25
17-3022.00,Civil Engineering Technicians,2.88,3.62,3.12,3,3.62,1,1.12,1,2.62,2.75,2.38,2.12,2,2.62,3.12,3.12,2.62,2.38,2.5,2.75,2.5,1.38,2.25,3.88,1,2.38,2.62,2.88,3.25,2.62,2.5,1.62,3,1.88,3.38
17-3023.01,Electronics Engineering Technicians,2.75,3.25,3.5,3.12,3.25,2.75,2.5,1.25,2.62,2.88,2.38,1.62,1.75,2.5,2.75,3,2.38,2.62,3,3.12,2.5,2,2.75,3.5,2.88,2.5,2.5,2.88,3.25,2.75,2.75,1.62,3.38,3,3.12
17-3023.03,Electrical Engineering Technicians,3.12,3.25,3.5,3,3.62,2.88,2.88,2.25,2.75,2.88,2.62,1.62,1.62,2.62,2.62,3.25,2.62,2.62,3.38,2.25,2.5,1.75,3.25,3.5,2.75,1.5,2.62,3,3.25,2.88,2.88,2.88,3,3,3.25
17-3024.00,Electro-Mechanical Technicians,3.38,3.38,3,2.88,3.62,3.25,3.12,3.38,2.75,3,3,1.75,2,2.62,2.75,3.75,2,3.38,4,2.38,2.12,2.25,3.88,3.38,3.62,2.5,2.38,2.88,3.38,2.75,2.75,1.5,3.12,3.62,3.12
17-3024.01,Robotics Technicians,3.25,3.5,3.62,3,3.75,3.75,3.38,3,2.88,3.12,3.12,1.88,2.12,2.5,3.12,3.25,2.62,3.25,3.5,2.25,2.62,2.75,3.5,3.75,3.75,2.88,2.88,3,3.25,3.12,2.88,2.75,3,3.88,3.25
17-3025.00,Environmental Engineering Technicians,3.75,4,3.38,3.12,3.88,2.38,2.38,1.25,2.88,3.38,3,2,2.5,3,3.25,3.5,2.88,2.88,3.12,2.88,2.88,1.88,3.25,3.88,2.38,3.5,2.88,3,3.5,3,2.88,2,3.38,2.88,3.38
17-3026.00,Industrial Engineering Technicians,3,3.62,3.75,2.88,3.75,1.12,1.5,1,2.75,3.25,2.5,1.75,2,2.5,3.12,3.75,2.75,2.12,3,3.12,2.88,2,2.62,3.75,1,3,2.75,3,3.38,3.5,3.38,3,3.12,2.12,3.25
17-3027.00,Mechanical Engineering Technicians,3.12,3.75,3.38,3.12,3.62,2.5,2.62,1.12,2.88,3.38,2.75,1.62,1.62,2.88,3,3.38,2.75,3.12,3.62,2.5,2.75,1.5,3.38,3.75,2.5,2.75,2.62,2.88,3.5,2.75,2.75,2,3.12,2.62,3.38
17-3029.01,Non-Destructive Testing Specialists,3.5,3.5,3.25,2.75,3.62,2.62,2.75,1,3.12,3.38,3.12,1.88,2,2.62,2.75,3.62,2.62,2.75,3.25,1.75,2.5,1.88,3.62,3.62,2.38,2.62,2.62,2.88,3.25,2.88,2.75,2,3,2.75,3.12
17-3029.02,Electrical Engineering Technologists,3.12,3.25,3.5,3.12,3.75,2.38,2.25,2.12,2.75,3.25,2.75,2.75,2.62,2.88,3.38,3.25,2.38,2.75,3.12,2.25,2.38,2.25,3,3.38,2.25,3.12,2.75,2.75,3.25,3.25,2.88,2.5,3.25,3.25,3.25
17-3029.03,Electromechanical Engineering Technologists,3.38,3.75,3.38,3,3.62,3.12,2.62,2.75,2.75,3,2.62,1.88,2.12,2.88,3.12,3.38,2.62,2.5,3.12,2.25,2.75,2.5,3.25,3.62,3.12,2.62,2.62,2.88,3.25,3.25,3.25,2,3.25,3.12,3.12
17-3029.04,Electronics Engineering Technologists,3.38,3.75,3.62,3.25,3.75,3.5,3.12,2.38,3,3.38,2.88,1.88,2.25,2.62,3.5,3.25,2.38,3.12,3.5,2.38,2.88,2.38,3.5,3.62,3.5,3,2.75,2.88,3.62,3.38,2.88,2.62,3.12,3.5,3.25
17-3029.05,Industrial Engineering Technologists,2.75,3.38,3.38,3.25,3.75,2.12,2.38,1.12,2.75,3.12,2.38,2.38,2.62,3,2.88,3.25,2.62,2.38,2.88,2.75,2.88,2.12,2.62,3.5,1.88,2.12,2.75,3,3.5,3.12,3,2.62,2.88,2.38,3.12
17-3029.06,Manufacturing Engineering Technologists,3.5,3.62,3.75,3.25,4,2.88,3.38,2.5,3,3.62,3,2.75,2.75,2.88,4,3.38,3,3.12,3.5,2.88,3,2.62,3.62,3.5,2.62,2.75,2.75,2.88,3.62,3.5,3.38,3,3.25,3.12,3.25
17-3029.07,Mechanical Engineering Technologists,3.25,3.88,3.38,2.88,3.62,3.12,3.12,1.75,2.62,3.25,2.5,2.38,2.25,2.38,3.12,3.25,2.75,3.38,3.75,2.62,2.75,2,3.5,3.5,3,2.62,2.62,2.75,3.38,3,3,2.62,3.25,3.25,3.38
17-3029.09,Manufacturing Production Technicians,2.88,3.5,3.25,3,3.62,3.5,2.75,2.12,2.75,3.12,2.62,1.62,2,2.5,2.38,3.5,2.62,3.25,4,2.5,2.5,1.38,3.25,3.62,3.25,2.5,2.62,2.88,3,2.62,2.5,2.12,3,3.12,3
17-3031.01,Surveying Technicians,2.88,3.38,3.38,3.12,3.62,2.5,2.25,1,2.75,3.25,2.5,1.62,1.62,2.75,3.38,3.12,2.38,3,3.12,2.38,2.5,1.38,2.62,3.38,2.38,2.25,2.62,2.88,3.38,2.75,2.62,1.62,3.38,2.5,3.12
17-3031.02,Mapping Technicians,3.5,3.12,3.5,3,3.5,1,1.12,1,2.88,3.38,3,1.75,1.88,2.88,3.75,3.25,2.5,2.38,2.62,2.38,2.62,2.62,3.12,3.75,1,1.88,2.62,3,3.12,2.62,2.5,1.75,3,2,3.25
19-1011.00,Animal Scientists,3.5,4.12,3.88,3.5,3.88,1,1.12,1,3.12,3.75,3.12,1.88,2,3,3.25,3.62,2.88,2.12,2.75,2.75,2.88,1.38,2.75,4.25,1,4.25,2.88,3.25,3.88,3.5,3.38,1.62,3.5,1.75,4.12
19-1012.00,Food Scientists and Technologists,3.75,3.88,3.62,3.38,3.75,1.25,1.5,1,3.25,3.5,3,1.75,1.88,3.12,3.12,3.62,3.12,2.38,2.88,1.75,3.12,1.5,3.38,3.88,1.25,3.12,2.88,3.25,3.75,3.38,3.12,1.88,3.25,2.38,3.88
19-1013.00,Soil and Plant Scientists,3.75,3.88,3.88,3,4,1,1,1,3.12,3.75,3.12,2,2,2.75,3.25,3.38,2.5,2.62,2.75,3.12,2.88,2.38,2.88,4,1,4,2.88,2.88,4,3.38,3.25,2,2.88,1.75,3.88
19-1020.01,Biologists,3.38,3.62,3.62,3,4,1,1.12,1,3.25,3.5,3,2.25,2.12,3.25,3.5,3.25,2.5,1.38,2.12,1.88,2.88,2.62,2.38,3.88,1,4.5,2.5,3.25,3.5,2.75,2.62,1.62,3.38,1.88,3.5
19-1021.00,Biochemists and Biophysicists,4,4,3.88,3,4.12,1.88,2.25,1,3.5,3.75,3.62,2.12,2.25,3.12,3.75,3.75,2.5,2.38,2.88,3.25,2.75,2.25,3,4.12,1.88,4.62,2.75,3,4,3.5,3.25,2.25,3.12,2,4
19-1022.00,Microbiologists,3.75,3.88,3.38,3.25,4.12,1,1.62,1,3.25,3.5,3.5,2.12,2.38,3.25,3.25,3.5,2.62,2.62,2.75,3,2.88,2,2.75,3.88,1,4.5,2.75,3,3.62,3.25,3.12,1.88,3.25,2,4
19-1023.00,Zoologists and Wildlife Biologists,3.5,4,3.5,3.5,3.88,1,1.12,1,3.12,3.62,2.88,2,2.12,2.88,2.88,3.38,2.88,2.38,2.88,1.62,2.88,1.5,2.62,3.88,1,4,2.88,3.12,3.75,3.38,3.12,1.5,3.25,2,3.88
19-1029.01,Bioinformatics Scientists,3.62,4,4,3,4.12,1,1.5,1,3,3.62,3,2,2.12,2.88,3.5,3.38,2.75,1.25,2.25,2.25,2.88,2.12,2.12,4.12,1,3.75,2.88,3.25,4,3.25,3.25,2.25,3.38,2,3.88
19-1029.02,Molecular and Cellular Biologists,4.12,4,4,3.25,4.38,1,2,1,3.5,4,3.75,2.75,2.62,3,3.62,3.62,2.5,2.38,2.88,3,2.5,2.75,2.75,4.5,1,4.62,2.5,3,3.75,3.25,3.25,2.25,3.25,1.75,4.25
19-1029.03,Geneticists,3.75,4,3.62,3.25,4,1,1.25,1,3.5,3.62,3.25,2.12,2.38,3.12,3.5,3.5,2.62,2.25,2.88,1.5,2.62,1.62,2.75,4.25,1,4,2.75,3.25,4,3.5,3.38,1.75,3.5,1.88,4
19-1031.01,Soil and Water Conservationists,3.25,3.88,3.75,3.25,3.75,1.12,1.25,1.25,3.12,3.5,2.75,2.5,2.25,3,3.38,3.5,3.12,2.5,2.88,3.12,3,1.88,2.88,3.88,1,3.5,3.38,3.38,3.75,3.38,3.25,1.75,3.38,2.12,3.75
19-1031.02,Range Managers,3.38,4,3.62,3.62,3.88,1,1,1,3,3.75,2.62,2.12,2.5,3.25,2.75,3.62,3.5,2.75,2.75,3.25,3.25,1.62,2.38,3.75,1,3.38,3.25,3.25,3.88,3.25,3.12,1.88,3.12,1.88,3.25
19-1031.03,Park Naturalists,3.25,4,3.12,3.12,3.88,2.38,2.12,1,3.12,3.5,3,1.88,2,3,2.12,3.25,2.62,2.25,2.5,2.88,2.75,1.5,2.5,3.62,2.25,2.5,3.5,3.88,4.12,2.75,2.75,1.75,3.25,2.12,3.62
19-1032.00,Foresters,3.12,3.62,4,4,4,1,1.75,1,2.88,4,2.62,2.38,2.75,3.62,2.88,4.25,3.5,2.75,2.75,3.12,3.12,1.5,2.62,3.75,1,3.12,2.88,3.5,4.12,3.88,3.62,2,3.75,1.12,3.5
