Code,Title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing,Arm-Hand Steadiness,Manual Dexterity,Finger Dexterity,Control Precision,Multilimb Coordination,Response Orientation,Rate Control,Reaction Time,Wrist-Finger Speed,Speed of Limb Movement,Static Strength,Explosive Strength,Dynamic Strength,Trunk Strength,Stamina,Extent Flexibility,Dynamic Flexibility,Gross Body Coordination,Gross Body Equilibrium,Near Vision,Far Vision,Visual Color Discrimination,Night Vision,Peripheral Vision,Depth Perception,Glare Sensitivity,Hearing Sensitivity,Auditory Attention,Sound Localization,Speech Recognition,Speech Clarity
19-2021.00,Atmospheric and Space Scientists,4.88,5,4.88,4.5,3.25,3.12,4,4.25,4.12,3.88,4,3.88,3.38,2.75,3,4.12,3,0.12,2.88,3.25,2.88,0,0,0.88,0.12,0,0,0,0,0.12,0,0,0,0,0.12,0,0,0,0,0,4,3.25,2.88,0,0,1.12,0,1.5,1.5,0,3.12,4.12
19-2031.00,Chemists,4.75,4.75,4.62,4.5,3.5,3.5,3.88,4.38,4.25,4,4.38,3.75,4,2.88,3,3.62,3.12,0.75,3.38,3.12,2.62,3,2.88,3.38,2.75,2.12,1.38,1.25,1.38,1.25,0.38,1.38,0,1.25,2.12,1,1.25,0,0.88,1,4.12,2.88,3.25,0,0,2.62,0,2.62,2.25,0.25,3.12,3.12
19-2032.00,Materials Scientists,4.62,4.5,4.88,4.75,3.62,4,4.12,4.25,4.12,3.75,4,4.12,3.12,2.5,2.75,4,2.88,0,3.62,3.12,2.5,2,1.88,2.12,2,1.12,1,1,1.75,1,0,0,0,0,0.25,0,0,0,0,0,3.88,3,3,0,0,2,0,2.25,2,0,3.12,3.38
19-2041.00,"Environmental Scientists and Specialists, Including Health",5.12,5.12,5.25,4.75,4.25,3.88,5.12,4.62,5,3.88,4.12,4.12,4,3,3.25,3.88,3.5,1.88,3,3.38,2.75,1.88,1.62,2.62,2.38,2.12,1.88,1.62,2,0.25,1.25,0.25,0,0.25,0.25,0.12,0.25,0,0.25,0.12,4,3.5,2.75,1.75,1.5,2.25,1.88,2,2.62,1.38,3.75,4.25
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.5,4.62,4.38,4.25,3.38,3.12,4.25,4.12,4,3.75,4,3.62,3.38,2.38,2.5,3.5,3.25,0.62,3.25,3,2.38,0,0,2.38,1.62,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.38,3,0,0,2.38,0.25,1.75,1.75,0,3.38,3.62
19-2043.00,Hydrologists,4.88,4.62,4.62,4.38,4.12,4,4.5,4.5,4.62,3.88,3.88,4.25,3.88,2.5,2.75,3.88,3.12,2.12,3.88,3.12,2.5,2.12,1.12,2.12,2.12,2.12,1.75,1.25,1.5,1,0.88,1.62,0,1.12,1.62,0.62,0.75,0,1,0.62,4,3.25,2.62,0.75,0.88,2.25,1,2,2.12,0.75,3.25,3.5
19-2099.01,Remote Sensing Scientists and Technologists,4.62,4.62,4.5,4.62,3.38,3.38,4.12,4.5,4.25,3.88,3.62,4.12,3.88,2.88,2,3.38,3,0.38,3,2.88,2.62,2.25,2.25,2.88,1.88,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.75,3.25,2.5,0,0,1.5,0,2,1.38,0,3.25,3.12
19-3011.00,Economists,4.75,4.62,5,5.12,3.88,3.25,3.88,4.25,4.12,3.62,3,4.12,4.38,2.75,2.12,2.62,2.38,0,2.25,2.62,1.88,0,0.12,1.62,0,0,0,0,0,0.38,0,0,0,0,0.25,0,0,0,0,0,3.62,2.75,0.62,0,0,0.5,0,0.88,0.5,0,3.5,3.62
19-3011.01,Environmental Economists,4.62,4.5,4.75,4.5,3.75,3.62,4.12,4,4.12,3.38,3.38,4.5,4.38,3.25,2.75,3.5,3,0,3.12,3.25,2.25,0.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,3.88,3.25,2.12,0,0,0.62,0,1,0,0,3.75,4.12
19-3022.00,Survey Researchers,4.12,4.25,4.25,4.38,3.5,3.5,3.5,4.12,4.12,4,3.88,4.12,4.12,2.62,2.88,3.25,2.62,0,2.5,3,2.38,1,0.88,2.25,1.5,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,4,2.62,1.5,0,0,1,0,1.62,1.88,0,3.75,3.88
19-3031.01,School Psychologists,4.75,4.75,4.5,4.5,3.38,3.5,4.25,4.12,4.38,3.5,3.38,3,2.75,2.38,2.38,3,2.62,0,2.25,2.75,2.75,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0.62,0.25,0,0,0,0,3.5,2.88,2,0,0,0,0,1.75,1.75,0,3.75,3.88
19-3031.02,Clinical Psychologists,4.5,4.62,4.75,4.12,3.5,3.62,5,4.62,4.62,3.25,3.38,1.75,1.75,2.38,2.75,3.25,2.5,0,1.88,3,2.38,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.38,2.38,0.88,0,0,0.5,0,1.12,1.38,0,3.5,3.62
19-3031.03,Counseling Psychologists,4.88,4.38,4.62,4,3.75,4,4.62,4.25,4.62,3.75,3.62,2.5,2,2.75,3,3,2.38,0,1.75,3.12,2.75,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,3.88,2.88,1.62,0,0,0,0,1.38,0.88,0,3.88,4
19-3032.00,Industrial-Organizational Psychologists,4.75,4.88,4.75,4.88,4.12,4,4.12,4.62,4,3.88,3.88,3.75,3.75,3.12,2.88,3,2.75,0,2.75,2.88,2.38,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,3.88,3.38,1.5,0,0,0.5,0,1.38,0.88,0,3.88,4.25
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,5.38,5.12,5.62,5,4,3.88,5.75,4.62,5.75,4.12,4.38,3.12,3.25,3,3.62,4.25,3,0.25,3.62,3.38,2.5,1.88,1.5,2.12,1.12,0.75,0.12,0,0,0.25,0,0.75,0,0,0.38,0,0,0,0,0,4.12,3.5,2.25,0,0,1,0,1.38,1.88,0,4.62,4.12
19-3041.00,Sociologists,4.75,4.5,5,4.75,3.38,3.88,3.75,4.5,4.25,3.63,3.75,3.63,2.13,2.38,1.88,2.63,1.38,0,1.63,2.75,1.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.75,1.75,1.13,0,0,0.13,0,0.5,1,0,3.63,4.5
19-3051.00,Urban and Regional Planners,4.5,4.5,4.62,4.38,4,3.62,4.25,4.38,3.62,3.75,3.75,3.62,3.62,2.38,2.62,3.5,3,1,4,3,2.5,0.25,0.12,2.38,1.5,1.25,0.12,0,0.12,0,0,0,0,0,0.12,0,0,0,0.12,0,4.25,3.75,2.5,0,0,1.88,0,1.88,2.25,0,4,4.38
19-3091.01,Anthropologists,5,4.88,5.12,5,4,4,4,4.5,4.62,3.62,4.12,2.88,2.38,2.88,3.25,3.25,2.12,0,2.62,3,1.88,0,0,1.62,0.75,0.75,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,3.88,3.25,2,0,0,1.75,0,0.88,1,0,4.12,4.5
19-3091.02,Archeologists,4.88,4.62,5,4.75,4,4,4,4.38,4.62,4.12,4,3.38,3.12,2.75,3.62,4,2.88,1,3.75,3.5,2.38,2.88,2.75,3,2.62,2.25,0.25,0.12,0.12,0,0,2.88,0,2,2.88,2,2.62,0,2,1.75,4.25,4,3,0.12,0,2.75,2.25,2,1.62,0,3.62,4.25
19-3092.00,Geographers,4.75,4.5,4.88,4.5,3.5,3.5,3.88,4,4.12,3.5,4.25,3.75,3.75,2.25,2.38,3.5,2.62,0,2.88,2.88,2.38,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,4.25,3.62,2.62,0,0,1.38,0,2,1.75,0,3.5,4.38
19-3093.00,Historians,4.5,4.5,4.75,4.88,3.25,2.88,3.25,3.5,3.88,3.13,3.38,1,0.63,2.25,1.5,2.88,1.75,0,1.75,2.75,1.63,0.88,1.25,0.63,1.38,1.13,0,0,1.13,0.25,1,0.25,0,0,1.63,1,1.38,0,1,0,4.38,2.38,1,0.25,0,1.13,1.13,0.25,1.88,0,3.38,4.13
19-3094.00,Political Scientists,4.63,4.75,4.75,4.75,3.5,3.75,3.75,4.25,4.25,3.63,3.75,2.88,2,2.88,2.38,2.38,1.75,0,1.38,2.75,2.38,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.88,2.38,0.88,0,0,0.25,0,0.75,0.88,0,3.63,4.75
19-3099.01,Transportation Planners,4.25,4.38,4.25,4.12,4,3.75,4.12,4.12,4,3.88,3.5,3.62,3.5,3.12,3.25,3.38,3,0.75,3.75,3.5,3.25,0,0,2.25,1.62,1,0,0,0,0.38,0,0,0,0,0.5,0,0,0,0,0,3.62,3.38,3,0,0,2.12,0,2,1.62,0,3.75,3.75
19-4011.01,Agricultural Technicians,3.75,3.75,3.88,3.62,2.88,2.75,3.5,3.5,3.5,3.25,3.25,3,2.75,2.12,1.62,2.88,2.5,1.25,2.62,2.88,2.62,2.62,2.62,3.12,3.12,2.5,1.88,1.75,1.75,1,0.75,2,0,0.75,2.25,1.38,1.38,0,1.38,1.38,3.62,3,2.88,1.5,1.62,2.88,1.38,2.25,2.5,1.25,3,2.88
19-4011.02,Food Science Technicians,3.75,3.63,4,3.88,2.63,2.38,3.38,3.38,3.38,3.13,3.13,2.75,2.63,2.25,2,2.88,2.63,0,2.63,3,2.63,2.25,2.38,2.88,1.75,1.63,0.25,0,1.63,0.38,1,1.13,0,0,2.13,0.75,0,0,0.88,0,3.38,2.38,2.75,0,0,1.88,0,1.88,2.63,0,2.63,2.75
19-4021.00,Biological Technicians,4.5,4.38,4.25,3.88,3.5,3.38,4.12,4.12,4.12,4,4,3.75,3.38,2.25,2.88,3.88,3.38,0.12,3.12,3.75,2.12,3,2.88,3.38,2.88,2.5,2,1.12,1.62,2,0.38,1.62,0.12,1,2.12,1.12,1.5,0.25,1.25,0.88,4.5,3.25,3.5,0.12,0,2.12,0.12,2.25,2,0.12,3.38,3.25
19-4031.00,Chemical Technicians,4.12,4.12,3.88,3.88,3,3,3.75,4,4,3.88,3.88,3.25,3.12,2.62,2.62,3,2.88,0.25,3.12,3.25,2.5,3.25,2.88,3.25,3.38,2.88,1.38,2.12,1.88,1.75,1.5,2,0,1.62,2.38,2,2.38,0,2.12,1.12,3.88,2.88,3.12,0,0,2,0,2.38,2.38,0,3,2.88
19-4041.01,Geophysical Data Technicians,4.13,4.25,4.25,3.5,2.25,2.63,3.13,3.25,3.13,3.25,3.25,2.75,2.75,1.63,1.25,2.88,2.63,0.25,3,2.88,2,2.25,1.25,2.75,1.88,2.13,1.13,0.75,1,1.13,0.25,1.5,0,1,1.88,0.63,1,0,1.13,0.63,3.5,3,2.38,0,0,2.5,0,2.63,2.63,0,3,3
19-4041.02,Geological Sample Test Technicians,4.13,3.75,4.13,3.5,3,2.88,3.5,3.88,3.88,3.63,3.75,3.38,3.63,2.5,3,3.75,3.25,1.75,3.38,2.88,2.38,2.88,2.63,2.88,3,2.25,2.13,2.38,2.75,1.75,2,2.5,0.13,1.75,2.5,1.75,2.13,0.25,2,1.5,3.75,3.38,3,1.5,1.88,2.5,1.75,2,2.5,1.63,2.88,2.88
19-4051.01,Nuclear Equipment Operation Technicians,4.12,3.88,4,2.88,2.38,2.25,3.88,4,3.75,3.88,3.12,3.62,3.62,2.25,3.12,3.88,3.88,1.75,3.62,4.25,3.5,2.88,2.38,2.75,3,2.75,3.12,1.88,3.88,1.5,1.5,1.75,0.12,1.25,2.25,1.62,2.5,0,2,2.12,3.62,3.38,3.25,0.88,1,2.75,1.88,2.88,3.62,1.75,3.38,3.12
19-4051.02,Nuclear Monitoring Technicians,4,3.88,3.75,3.75,2.62,2.75,4,3.75,3.62,3.75,3.62,3,3.38,2.88,2.62,3.12,3.38,0.25,3,3.75,2.88,2.75,2.38,2.75,2.62,2,2.12,1.62,2.75,1.62,1.5,1.75,0,1.5,2.25,1.62,1.88,0,1.88,1.88,3.75,3.25,3,0,0.38,1.75,1.38,2.25,3,0.25,3,3.12
19-4061.00,Social Science Research Assistants,4.13,4.13,4.13,3.88,3.13,3,3.5,3.63,3.5,3.5,3.25,3.38,3.25,2.75,2.5,3.25,2.88,0,2.63,2.75,2.38,0.13,0.5,2.88,0.13,0.13,0.13,0,0,0.75,0,0,0,0,0.63,0,0,0,0,0,3.63,3.38,2.13,0,0,1.63,0,1.88,1.88,0,3.25,3.63
19-4061.01,City and Regional Planning Aides,4.25,3.75,4,3.62,3,3.38,3.5,3.38,3.25,3.12,3,2.62,3.12,1.75,2.12,2.62,2.38,0,2.75,2.88,2.62,0,0,2,1.62,1.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.5,2.75,1.62,0,0,2.12,0,1.25,1.12,0,3.25,3.12
19-4091.00,"Environmental Science and Protection Technicians, Including Health",4.12,4.12,4,3.88,3,2.88,3.62,3.75,3.75,3.62,3.62,3,3.12,2.75,2.5,3.12,2.88,1.62,3.25,3,2.75,2.88,2.62,2.75,3,2.88,2,2.62,2.88,1.62,2.12,2,0,1.5,2.12,1.88,2.38,0,1.75,1.25,4,3.12,2.88,1.5,1.75,2.62,1.88,2.25,2.5,1.25,3.25,3.12
19-4092.00,Forensic Science Technicians,4.75,4.38,4.5,4,4.12,3.75,4.5,4.62,4.12,3.88,4.25,3.25,3.38,2.62,3.88,4.62,3.62,1.88,3.62,3.25,2.25,3.38,2.62,3.38,2.62,2.75,2.12,1.62,1.5,1.5,1.12,2.25,0.12,1.38,2.25,1.38,1.62,0,1.5,1.12,4.62,3.88,3.5,1.75,1.25,2.25,1.88,2.38,2.62,1.5,3.62,3.62
19-4093.00,Forest and Conservation Technicians,4,3.75,3.88,3.38,2.75,3,3.62,3.75,3.38,3.5,3.38,2.75,2.88,2.5,2.62,3.5,2.75,2.62,3.62,3.12,2.88,2.88,3,2.62,3.38,3.25,2.88,2.5,3.25,1.62,2.38,3,0.12,2.25,3.25,2.62,2.62,0.38,2.5,2.38,3.62,4,3,1.25,1.5,3.25,2.5,2.12,2.62,1.25,3.25,3.12
19-4099.01,Quality Control Analysts,4,3.62,3.88,3.62,3.12,3,3.62,3.5,3.38,3.5,3.38,3.25,3,2.75,2.5,3.25,3.38,0.25,2.75,3.25,2.88,3,2.75,2.75,2.62,2.12,1.38,1.5,1.25,1.38,1.38,1.62,0,1.25,2,1.5,1.5,0,1.75,1.25,3.88,3.25,2.88,0,0,2.25,0,2.12,2.25,0,3.38,3.38
19-4099.02,Precision Agriculture Technicians,4.12,3.75,3.88,3.75,2.88,3,3.88,3.88,3.75,3.62,3.62,3.5,3.25,2.75,2.5,3.5,3.12,1.75,3,3,2.88,2.75,2.75,3,3.25,3,2.12,1.88,1.88,1.75,1.12,2,0,1.62,2.5,1.5,1.62,0,1.62,1.25,3.62,3.25,3.12,1.25,1.12,2.88,1.5,2.25,1.88,0.75,3,3
19-4099.03,Remote Sensing Technicians,4.5,4.25,4.5,4.12,3.75,3.38,3.75,3.88,3.75,3.88,3.88,4.12,3.75,2.62,3,4.12,3,1.38,3.62,3.38,2.75,2.38,2,2.88,2.75,2,1.62,1.25,1,1,0,0,0,0,0.5,0,0,0,0,0,3.62,3.38,3,0.25,0.12,2.12,0.12,2.38,2.38,0,3,3
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.25,4.12,4.25,4,3,3.25,4.12,3.75,3.88,3.5,3.25,2.12,2.25,2.5,2.5,2.62,2.62,0.25,2.62,3,2.62,0.25,0.5,1.12,0.25,0.25,1.75,0.25,1.5,0,0,1.62,1.75,0.38,2.12,1.75,0.38,0,1.12,1.38,3.38,2.88,2,0,0,1,0,2,1.62,0,3.5,4
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",4.5,4.62,4.5,4.5,3.5,3.5,4.38,4,4.12,3.38,3.5,2.5,2.38,2.88,2.75,2.88,2.38,0,2.5,2.88,2.75,1,1.25,2.38,0.88,0.25,1.25,0.25,1.38,0,0,1.5,1.75,0.38,1.12,1.5,0.38,0,1.25,1.25,3.5,2.75,1.88,0,0,0.38,0,1.62,1.38,0,3.5,3.75
21-1013.00,Marriage and Family Therapists,4.38,4,4.75,4,3.75,3.38,4.25,4,4.25,3.38,3.25,1.75,1.88,2.88,3.62,3.12,2.12,0,2.62,3,3,0,0,2.12,0,0,0.5,0,0.5,0,0,0.88,0.62,0,0.25,0.38,0,0,0.5,0.5,3.88,2.75,1.5,0,0,0,0,2.12,2.12,0,3.88,3.75
21-1014.00,Mental Health Counselors,4.88,4.38,4.75,4.38,4.12,4,5,4.5,5.12,3.88,4,2.38,2.38,3.12,3.25,3.25,2.88,0,2.25,3.75,2.25,0,0,2.25,0,0,0.75,0,1.38,0.25,0,1.38,1,0,0.38,0.62,0,0,1,0.75,3.75,3,1.5,0,0,0.62,0,1.75,2,0,4.62,4.5
21-1015.00,Rehabilitation Counselors,4.38,3.88,4.12,4,3.5,3.5,4,4,4,3.12,3,1.75,1.5,2.62,2.62,2.75,2.38,0,2.12,2.88,2.62,0.5,0,2.38,0,0.5,1.88,0,1.5,0,0.88,2.12,1.88,0.5,2,1.75,1.5,0,1.88,1.75,3.75,3.12,1.88,0,0,0,0,1.88,2,0,3.88,3.88
21-1021.00,"Child, Family, and School Social Workers",4.38,4.12,4.25,4,3.12,3.38,4.25,4,4,3.5,3.38,2.5,2.25,2.5,2.62,2.88,2.5,0,1.75,3.25,2.75,1.25,0,2.38,1.25,1.75,1.25,0,1.25,0,0,1.75,1,1,2.12,1.88,0.88,0,1.5,1.25,3.75,2.75,2,0.25,0.25,1.25,0,1.75,1.62,0,3.88,3.88
21-1022.00,Healthcare Social Workers,4.38,4.12,4.5,4.25,3.62,3.75,4.12,4.12,3.88,3.5,3.5,2,2.25,3,2.88,3.25,2.75,0.12,2.25,3.12,2.75,0.12,0.12,2.25,0,0,2.25,0,2.12,0.12,0,1.88,1.5,0,2,1.12,0,0,1.25,1.25,4,2.75,1.62,0,0,0,0,2.25,2.38,0,4.5,3.62
21-1023.00,Mental Health and Substance Abuse Social Workers,4.5,4.5,4.62,4.25,3.75,3.62,4.75,4.25,4.38,3.75,3.75,2.62,2.62,3.12,3.62,3.25,3,0.5,2,3,2.75,0.12,0,2.12,0,0,2,0,2,0.12,0,1.75,1.12,0,2.12,0.88,0,0,1.25,1.25,4,3.38,2,0,0,0,0,2.25,2.88,0.25,4.12,4
21-1091.00,Health Educators,4.12,4,4.25,4.12,3.5,3.38,3.38,3.88,3.75,3,3.12,2.12,1.88,1.75,2.12,2.5,2.12,0.38,2.25,2.88,2.75,2.12,2,2.12,1.75,1.88,0.5,0.25,0.25,0.12,0.12,1.38,0,0.38,1.25,0.5,0.38,0,0.38,0.25,4,2.88,2,0.25,0.12,1.38,0.25,2,1.5,0,3.25,4
21-1092.00,Probation Officers and Correctional Treatment Specialists,4,4,4.25,4,3,3.12,4.25,3.88,3.75,3.12,3.12,1.12,1,2.12,1.62,2.25,1.62,0.38,1.5,2.62,2.38,1.25,1,1.5,1.5,1.25,1.75,0,1.75,0.25,1,1.75,1.25,0,2.25,1.62,0,0,1.88,1.12,3.62,2.12,0.5,0,0,1,0,0.88,2,0,3.5,3
21-1093.00,Social and Human Service Assistants,4,3.88,4,3.88,3.12,3,3.75,3.75,3.25,3.25,3.25,2.5,2.88,2.75,2.75,3,2.75,1.38,2.25,3.12,2.88,2.25,1.38,2.5,2.25,2.25,2.38,1,2.12,0.38,1.12,2.25,1.25,1,1.75,1.38,1,0,1.88,1.5,3.75,2.88,2,1,1.12,2.25,1.5,2.25,2.62,1.12,4,3.62
21-2011.00,Clergy,4.5,4.38,4.75,4.38,4.13,3.5,4.5,4,3.88,3.5,3.5,2.88,3.13,4.13,3.38,2.88,2.88,1.38,2.75,3.38,3.25,1.63,1.38,2.63,2.13,2,1.75,1.13,1.38,0.13,1,0.13,0,0,2.25,0,0,0,0.5,0,3.88,3.25,1.88,1.38,1.25,2.25,1.38,2,2.13,1.25,4.63,5.5
21-2021.00,"Directors, Religious Activities and Education",4.13,3.75,4.38,3.88,3.38,3.38,3.5,3.38,3.25,3.38,3.13,2.38,2.63,2.63,2.5,2.5,2.25,0.13,2.63,2.5,2.13,0.38,0.25,2.25,1.5,1.25,0,0.25,0,0.5,1.25,0,0,0,1.88,1.25,0,0,1.25,0,3.38,3.38,1.63,0,0.13,1.88,0.25,1.75,1.63,0,3.25,4.13
23-1011.00,Lawyers,5,4.75,4.88,4.75,3.88,3.62,4,4.25,4.25,3.75,3.88,2.38,2.5,3.12,2.38,2.88,2.5,0,2.62,3,2.62,0,0,2.25,1,0.88,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,4.62,2.88,2.12,0,0,1.25,0,1.38,1.5,0,4,4.62
23-1012.00,Judicial Law Clerks,4.62,4.75,4.5,4.75,3.5,3.12,3.88,4.25,4,3.62,3.62,2.25,2.12,2.75,2.62,3.38,2.75,0,2,3.12,2.25,0.12,0.25,1.62,0,0,0.12,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,4.75,2.38,1.5,0,0,0,0,1.38,1,0,3.75,3.5
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5.12,5.12,5.25,5,3.25,3.12,4.12,4.88,4.75,3.62,3.38,2.38,2.62,2.88,2.38,2.88,2.62,0,1.5,3.12,2.75,0.5,0.5,2,0.62,0,0.5,0,0.5,0.25,0,0.25,0.25,0,0.5,0.12,0,0,0.12,0.25,4.75,2.88,1.12,0,0,0.25,0,1.5,2,0,4,4.62
23-1022.00,"Arbitrators, Mediators, and Conciliators",5,4.5,5,4.5,3.62,3.5,4,4.25,4.12,3.38,3,2.12,1.88,2.12,2.62,2.88,2.38,0,1.88,2.5,2.25,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,4.5,2.62,1.38,0,0,0.25,0,1.12,1.12,0,3.88,3.75
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5.25,5.25,5,5.12,3.75,3.12,4.12,5,5,3.75,3.38,2.5,2,3.38,3,3,2.62,0,1.5,3.38,2.62,0,0,1.38,0,0,0.5,0.12,0.5,0,0,0.5,0.38,0,0.5,0.38,0,0,0.5,0.38,4.62,2.75,1.12,0,0,0,0,0.88,1.25,0,3.88,4.38
23-2011.00,Paralegals and Legal Assistants,4,4,4,3.75,2.75,2.75,3.38,3.38,3.25,3.25,3.5,2.25,2.25,2.62,1.88,2.88,2.5,0,2.5,2.75,2.38,0,0,2.12,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,4.25,2.88,1.62,0,0,0,0,1.5,1.88,0,3.5,3.25
23-2091.00,Court Reporters,4,3.75,3.75,3.38,1.25,0.88,2.88,3,2.62,3.38,2.5,1.25,1,2.62,1.62,2.12,2.38,0,1.25,3.25,2.38,2.12,2,2.88,2.38,1.12,0.88,0.38,0.75,2.5,0,0,0,0,0.38,0,0,0,0,0,3.75,2,0.75,0,0,0.25,0,1.38,2.5,0,3.88,3
23-2093.00,"Title Examiners, Abstractors, and Searchers",4,4.25,4.13,3.88,2.25,2.25,3.13,3.38,3.25,3.13,3,2.25,2,1.75,1,2.63,2.25,0,1.5,2.75,2.13,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4.13,2.5,1,0,0,0.25,0,0.88,1,0,3.25,3.25
25-1011.00,"Business Teachers, Postsecondary",5,5,5.12,5.25,3,3.5,3.25,4.5,4.12,3.5,3.38,3.62,3.12,3.12,2.88,2.88,2.12,0,2,2.62,2.25,0,0,1.5,0.12,0,0,0,0,0.12,0,0,0,0,1.62,0.12,0,0,0,0,3.88,2.88,1.12,0,0,0.38,0,0.88,1.25,0,3.5,5.38
25-1021.00,"Computer Science Teachers, Postsecondary",5.12,5,5.62,4.88,3.12,3.5,3.5,4.38,4,4,3.75,4,3.25,3.12,2.38,2.88,2.12,0,2.5,2.5,1.75,1.5,1.25,2.12,1.5,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,4.12,3.12,1.38,0,0,1.12,0,1.25,0.62,0,3.5,5.12
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.75,4.38,4.88,4.62,3.38,3.5,3.25,4.12,4.12,3.38,3.12,4.38,4.38,3,2.38,2.5,1.75,0,2,2.88,2.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,3.62,2.38,1,0,0,0.12,0,0.38,0.75,0,3,4.62
25-1031.00,"Architecture Teachers, Postsecondary",5.12,5,5.12,5,3.75,4.12,3.75,4.25,4,3.75,3.88,3.38,3.12,2.88,2.38,3,2,0.62,4,2.5,2.5,0,0,1.88,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,3.88,3.12,2.12,0,0,1.25,0,1.12,2.12,0,3.25,5
25-1032.00,"Engineering Teachers, Postsecondary",4.88,5,5.5,5.12,3.75,3.88,3.88,4.12,4,3.88,3.75,4,3.75,2.88,2.75,2.88,2.38,0,3.25,3,2.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,3.88,3,2.5,0,0,1.5,0,2.12,1.88,0,3.88,4.5
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5.25,5,5.75,5,3.62,3.62,3.38,4.38,4.12,3.75,3.38,3.25,2.88,2.88,2.25,2.38,2.12,0,1.62,2.5,2,1.12,0.75,1.88,1.88,1.38,0.62,0.5,0.5,0.62,0,0.5,0,0.5,2.12,0.5,0.62,0,0.75,0.5,3.5,3,1.25,0,0,1.25,0,1.25,1.5,0,3.75,5.25
25-1042.00,"Biological Science Teachers, Postsecondary",5.25,5,5.5,4.88,3.62,3.75,3.5,4,4.12,3.88,3.88,3,2.5,3.12,2.25,2.38,2.12,0,2.12,2.88,2.25,1.88,1.75,2.12,1.88,0,0,0,0,0,0,0,0,0,1.62,0.12,0,0,0,0,4,2.62,2.12,0,0,0.75,0,0.75,1.12,0,3.75,4.75
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,5,5,5,3.62,3.75,3.62,4.12,4.12,3.38,3.25,3,2.5,2.88,2,2.38,2.25,0,2,2.5,2,0,0,1.5,0.75,0.75,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,3.88,3,1.5,0,0,1.5,0,1,1.25,0,3.62,5.25
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5.12,5,5.12,5,3.62,3.75,3.75,4,4,3.75,3.75,4,3,3,2.5,3,2.38,0,2.38,3,2.38,0.62,0,1.25,0,0.5,0,0,0,0,0,0.5,0,0.62,0.62,0.38,0.38,0,0.38,0.25,4,3.12,1.88,0,0,1.38,0,1.25,1.5,0,3.62,5
25-1052.00,"Chemistry Teachers, Postsecondary",5.5,5.25,5.5,5,3.5,3.62,3.75,4.5,4.5,3.75,4,3.62,3,3.12,2.25,2.75,2.38,0,2.75,2.88,2.5,0.88,0.88,2.12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.88,2.88,2,0,0,1.25,0,1,1.62,0,3.5,4.75
