ANZSCO4,Title,ONET,ONET.Title,Available.WA,Alt.ONET,Alt.ONET.Title
5122,Practice Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Yes,43-6011.00,Executive Secretaries and Executive Administrative Assistants
5211,Personal Assistants,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Yes,43-6011.00,Executive Secretaries and Executive Administrative Assistants
5212,Secretaries,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Yes,43-6011.00,Executive Secretaries and Executive Administrative Assistants
5311,General Clerks,43-9061.00,"Office Clerks, General",Yes,43-9061.00,"Office Clerks, General"
5321,Keyboard Operators,43-9021.00,Data Entry Keyers,Yes,43-9021.00,Data Entry Keyers
5411,Call or Contact Centre Workers,43-4199.00,"Information and Record Clerks, All Other",No,41-9041.00,Telemarketers
5412,Inquiry Clerks,43-4171.00,Receptionists and Information Clerks,Yes,43-4171.00,Receptionists and Information Clerks
5421,Receptionists,43-4171.00,Receptionists and Information Clerks,Yes,43-4171.00,Receptionists and Information Clerks
5511,Accounting Clerks,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Yes,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
5512,Bookkeepers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Yes,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
5513,Payroll Clerks,43-3051.00,Payroll and Timekeeping Clerks,Yes,43-3051.00,Payroll and Timekeeping Clerks
5521,Bank Workers,43-3071.00,Tellers,Yes,43-3071.00,Tellers
5522,Credit and Loans Officers (Aus) / Finance Clerks (NZ),13-2072.00,Loan Officers,Yes,13-2072.00,Loan Officers
5523,"Insurance, Money Market and Statistical Clerks",43-9111.00,Statistical Assistants,Yes,43-9111.00,Statistical Assistants
5611,Betting Clerks,39-3012.00,Gaming and Sports Book Writers and Runners,Yes,39-3012.00,Gaming and Sports Book Writers and Runners
5612,Couriers and Postal Deliverers,43-5021.00,Couriers and Messengers,Yes,43-5021.00,Couriers and Messengers
5613,Filing and Registry Clerks,43-4071.00,File Clerks,Yes,43-4071.00,File Clerks
5614,Mail Sorters,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Yes,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5615,Survey Interviewers,43-4111.00,"Interviewers, Except Eligibility and Loan",Yes,43-4111.00,"Interviewers, Except Eligibility and Loan"
5616,Switchboard Operators,43-2011.00,"Switchboard Operators, Including Answering Service",Yes,43-2011.00,"Switchboard Operators, Including Answering Service"
5619,Other Clerical and Office Support Workers,43-9061.00,"Office Clerks, General",Yes,43-9061.00,"Office Clerks, General"
5911,Purchasing and Supply Logistics Clerks,43-3061.00,Procurement Clerks,Yes,43-3061.00,Procurement Clerks
5912,Transport and Despatch Clerks,43-5011.00,Cargo and Freight Agents,Yes,43-5011.00,Cargo and Freight Agents
5991,Conveyancers and Legal Executives,43-6012.00,Legal Secretaries,Yes,43-6012.00,Legal Secretaries
5992,Court and Legal Clerks,23-1012.00,Judicial Law Clerks,Yes,23-1012.00,Judicial Law Clerks
5993,Debt Collectors,43-3011.00,Bill and Account Collectors,Yes,43-3011.00,Bill and Account Collectors
5994,Human Resource Clerks,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Yes,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
5995,Inspectors and Regulatory Officers,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Yes,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Yes,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
5997,Library Assistants,43-4121.00,"Library Assistants, Clerical",Yes,43-4121.00,"Library Assistants, Clerical"
5999,Other Miscellaneous Clerical and Administrative Workers,43-9061.00,"Office Clerks, General",Yes,43-9061.00,"Office Clerks, General"
6111,"Auctioneers, and Stock and Station Agents",41-3021.00,Insurance Sales Agents,Yes,41-3021.00,Insurance Sales Agents
6112,Insurance Agents,41-3021.00,Insurance Sales Agents,Yes,41-3021.00,Insurance Sales Agents
6113,Sales Representatives,41-3021.00,Insurance Sales Agents,Yes,41-3021.00,Insurance Sales Agents
6121,Real Estate Sales Agents,41-9022.00,Real Estate Sales Agents,Yes,41-9022.00,Real Estate Sales Agents
6211,Sales Assistants (General),41-9099.00,"Sales and Related Workers, All Other",No,41-2031.00,Retail Salespersons
6212,ICT Sales Assistants,41-9031.00,Sales Engineers,Yes,41-9031.00,Sales Engineers
6213,Motor Vehicle and Vehicle Parts Salespersons,41-2022.00,Parts Salespersons,Yes,41-2022.00,Parts Salespersons
6214,Pharmacy Sales Assistants,31-9095.00,Pharmacy Aides,Yes,31-9095.00,Pharmacy Aides
6215,Retail Supervisors,41-1011.00,First-Line Supervisors of Retail Sales Workers,Yes,41-1011.00,First-Line Supervisors of Retail Sales Workers
6216,Service Station Attendants,53-6031.00,Automotive and Watercraft Service Attendants,Yes,53-6031.00,Automotive and Watercraft Service Attendants
6217,Street Vendors and Related Salespersons,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Yes,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
6219,Other Sales Assistants and Salespersons,41-2031.00,Retail Salespersons,Yes,41-2031.00,Retail Salespersons
6311,Checkout Operators and Office Cashiers,41-2011.00,Cashiers,Yes,41-2011.00,Cashiers
6391,Models and Sales Demonstrators,41-9012.00,Models,Yes,41-9012.00,Models
6392,Retail and Wool Buyers,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Yes,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
6393,Telemarketers,41-9041.00,Telemarketers,Yes,41-9041.00,Telemarketers
6394,Ticket Salespersons,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Yes,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
6395,Visual Merchandisers,27-1026.00,Merchandise Displayers and Window Trimmers,Yes,27-1026.00,Merchandise Displayers and Window Trimmers
6399,Other Sales Support Workers,41-9099.00,"Sales and Related Workers, All Other",No,41-2031.00,Retail Salespersons
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Yes,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7112,Industrial Spraypainters,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Yes,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7113,Paper and Wood Processing Machine Operators,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Yes,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7114,Photographic Developers and Printers,51-9151.00,Photographic Process Workers and Processing Machine Operators,Yes,51-9151.00,Photographic Process Workers and Processing Machine Operators
7115,Plastics and Rubber Production Machine Operators,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Yes,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7116,Sewing Machinists,51-6031.00,Sewing Machine Operators,Yes,51-6031.00,Sewing Machine Operators
7117,Textile and Footwear Production Machine Operators,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Yes,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
7119,Other Machine Operators,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",No,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
7121,"Crane, Hoist and Lift Operators",53-7021.00,Crane and Tower Operators,Yes,53-7021.00,Crane and Tower Operators
7122,"Drillers, Miners and Shot Firers",47-5021.00,"Earth Drillers, Except Oil and Gas",Yes,47-5021.00,"Earth Drillers, Except Oil and Gas"
7123,Engineering Production Workers,51-9199.00,"Production Workers, All Other",No,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7129,Other Stationary Plant Operators,51-9199.00,"Production Workers, All Other",No,51-9195.07,Molding and Casting Workers
7211,"Agricultural, Forestry and Horticultural Plant Operators",45-2091.00,Agricultural Equipment Operators,Yes,45-2091.00,Agricultural Equipment Operators
7212,Earthmoving Plant Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Yes,47-2073.00,Operating Engineers and Other Construction Equipment Operators
7213,Forklift Drivers,53-3099.00,"Motor Vehicle Operators, All Other",No,53-3033.00,Light Truck or Delivery Services Drivers
7219,Other Mobile Plant Operators,51-8099.00,"Plant and System Operators, All Other",No,53-7011.00,Conveyor Operators and Tenders
7311,Automobile Drivers,53-3099.00,"Motor Vehicle Operators, All Other",No,53-3031.00,Driver/Sales Workers
7312,Bus and Coach Drivers,53-3022.00,"Bus Drivers, School or Special Client",Yes,53-3022.00,"Bus Drivers, School or Special Client"
7313,Train and Tram Drivers,53-4041.00,Subway and Streetcar Operators,Yes,53-4041.00,Subway and Streetcar Operators
7321,Delivery Drivers,53-3033.00,Light Truck or Delivery Services Drivers,Yes,53-3033.00,Light Truck or Delivery Services Drivers
7331,Truck Drivers,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Yes,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
7411,Storepersons,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",Yes,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
8111,Car Detailers,53-7061.00,Cleaners of Vehicles and Equipment,Yes,53-7061.00,Cleaners of Vehicles and Equipment
8112,Commercial Cleaners,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Yes,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
8113,Domestic Cleaners,37-2012.00,Maids and Housekeeping Cleaners,Yes,37-2012.00,Maids and Housekeeping Cleaners
8114,Housekeepers,37-2012.00,Maids and Housekeeping Cleaners,Yes,37-2012.00,Maids and Housekeeping Cleaners
8115,Laundry Workers,51-6011.00,Laundry and Dry-Cleaning Workers,Yes,51-6011.00,Laundry and Dry-Cleaning Workers
8116,Other Cleaners,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Yes,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
8211,Building and Plumbing Labourers,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Yes,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
8212,Concreters,47-3019.00,"Helpers, Construction Trades, All Other",No,47-2051.00,Cement Masons and Concrete Finishers
8213,Fencers,47-4031.00,Fence Erectors,Yes,47-4031.00,Fence Erectors
8214,Insulation and Home Improvement Installers,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Yes,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
8215,Paving and Surfacing Labourers,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Yes,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
8216,Railway Track Workers,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Yes,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
8217,Structural Steel Construction Workers,47-2221.00,Structural Iron and Steel Workers,Yes,47-2221.00,Structural Iron and Steel Workers
8219,Other Construction and Mining Labourers,47-3019.00,"Helpers, Construction Trades, All Other",No,47-2061.00,Construction Laborers
8311,Food and Drink Factory Workers,51-3099.00,"Food Processing Workers, All Other",No,51-3092.00,Food Batchmakers
8312,"Meat Boners and Slicers, and Slaughterers",51-3023.00,Slaughterers and Meat Packers,Yes,51-3023.00,Slaughterers and Meat Packers
8313,"Meat, Poultry and Seafood Process Workers",51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Yes,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
8321,Packers,53-7064.00,"Packers and Packagers, Hand",Yes,53-7064.00,"Packers and Packagers, Hand"
8322,Product Assemblers,51-2099.00,"Assemblers and Fabricators, All Other",No,51-2092.00,Team Assemblers
8391,Metal Engineering Process Workers,51-4051.00,Metal-Refining Furnace Operators and Tenders,Yes,51-4051.00,Metal-Refining Furnace Operators and Tenders
8392,Plastics and Rubber Factory Workers,51-8091.00,Chemical Plant and System Operators,Yes,51-8091.00,Chemical Plant and System Operators
8393,Product Quality Controllers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Yes,51-1011.00,First-Line Supervisors of Production and Operating Workers
8394,Timber and Wood Process Workers,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Yes,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
8399,Other Factory Process Workers,51-8099.00,"Plant and System Operators, All Other",No,51-8091.00,Chemical Plant and System Operators
8411,Aquaculture Workers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Yes,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
8412,Crop Farm Workers,45-2092.02,"Farmworkers and Laborers, Crop",Yes,45-2092.02,"Farmworkers and Laborers, Crop"
8413,Forestry and Logging Workers,45-4011.00,Forest and Conservation Workers,Yes,45-4011.00,Forest and Conservation Workers
8414,Garden and Nursery Labourers,45-2092.01,Nursery Workers,Yes,45-2092.01,Nursery Workers
8415,Livestock Farm Workers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Yes,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
8416,Mixed Crop and Livestock Farm Workers,45-2099.00,"Agricultural Workers, All Other",No,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
8419,"Other Farm, Forestry and Garden Workers",45-2099.00,"Agricultural Workers, All Other",No,45-2092.02,"Farmworkers and Laborers, Crop"
8511,Fast Food Cooks,35-2015.00,"Cooks, Short Order",Yes,35-2015.00,"Cooks, Short Order"
8512,Food Trades Assistants,35-2021.00,Food Preparation Workers,Yes,35-2021.00,Food Preparation Workers
8513,Kitchenhands,35-9021.00,Dishwashers,Yes,35-9021.00,Dishwashers
8911,Freight and Furniture Handlers,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Yes,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
8912,Shelf Fillers,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Yes,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
8991,Caretakers,49-9071.00,"Maintenance and Repair Workers, General",Yes,49-9071.00,"Maintenance and Repair Workers, General"
8992,Deck and Fishing Hands,45-3011.00,Fishers and Related Fishing Workers,Yes,45-3011.00,Fishers and Related Fishing Workers
8993,Handypersons,49-9071.00,"Maintenance and Repair Workers, General",Yes,49-9071.00,"Maintenance and Repair Workers, General"
8994,Motor Vehicle Parts and Accessories Fitters,49-9043.00,"Maintenance Workers, Machinery",Yes,49-9043.00,"Maintenance Workers, Machinery"
8995,Printing Assistants and Table Workers,51-5113.00,Print Binding and Finishing Workers,Yes,51-5113.00,Print Binding and Finishing Workers
8996,Recycling and Rubbish Collectors,51-9199.01,Recycling and Reclamation Workers,Yes,51-9199.01,Recycling and Reclamation Workers
8997,Vending Machine Attendants,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Yes,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
8999,Other Miscellaneous Labourers,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Yes,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
